nu,unc,A,S,"E""",g',"g""",J',"J""",Grve',v1',v2',v3',Ka',Kc',"Grve""","v1""","v2""","v3""","Ka""","Kc"""
6894.375604,0.000107,1.967,9.938770580770081e-28,1806.669485,75,81,12,13, B2,2,0,0,1,12, B1,0,0,0,0,13
6894.50476,5.9e-05,1.5948,3.4038984430526124e-28,1774.615197,23,25,11,12, A1,2,0,0,2,10, A2,0,0,0,1,11
6894.711177,5e-05,9.0495,5.622217536211246e-29,2246.883887,75,81,12,13, B2,1,0,1,2,10, B1,0,0,0,2,11
6894.899938,6.9e-05,0.0013988,4.3162440930678545e-27,742.072987,11,11,5,5, A1,1,0,1,1,4, A2,0,0,0,5,1
6894.921072,7.8e-05,0.0065905,1.8520200694834377e-28,1255.911452,17,17,8,8, A1,2,0,0,2,6, A2,0,0,0,5,3
6894.933064,5.3e-05,0.0018704,7.715094269848727e-27,744.063658,15,17,7,8, A2,1,2,0,3,5, A1,0,0,0,0,8
6895.147931,7.1e-05,0.50016,6.985561044717133e-22,0.0,3,1,1,0, A2,0,2,1,0,1, A1,0,0,0,0,0
6895.211908,9e-05,1.5868,1.0144677079293128e-27,1774.750359,69,75,11,12, B2,2,0,0,1,10, B1,0,0,0,2,11
6895.397418,5.1e-05,0.00052398,4.417670648204803e-28,888.632617,13,13,6,6, A1,2,0,0,2,4, A2,0,0,0,5,1
6895.650745,7.6e-05,1.6708,1.1918470158989358e-24,888.632617,11,13,5,6, A1,2,0,0,4,2, A2,0,0,0,5,1
6895.664289,7.4e-05,0.04231,7.556893598860562e-24,315.779543,9,9,4,4, A2,1,2,0,3,1, A1,0,0,0,2,2
6895.881527,4.6e-05,0.0015266,1.688129134383274e-25,383.842522,11,9,5,4, A1,0,2,1,1,4, A2,0,0,0,3,1
6895.894824,6.6e-05,1.6892,3.615891646161416e-24,888.598561,33,39,5,6, B1,2,0,0,4,1, B2,0,0,0,5,2
6895.929663,5e-05,0.1091,2.708528194309672e-30,2042.753109,39,39,6,6, B1,0,3,1,1,5, B2,0,1,0,1,6
6896.476752,4.7e-05,1.9733,1.6571613618839289e-28,1920.766302,39,33,6,5, B2,0,3,1,0,6, B1,0,1,0,0,5
6896.523175,6.1e-05,0.016674,1.9462537412035502e-26,882.890327,17,17,8,8, A1,1,2,0,2,6, A2,0,0,0,1,7
6896.558995,4.5e-05,1.4924e-05,3.223838545058829e-29,931.236948,51,45,8,7, B2,1,2,0,3,6, B1,0,0,0,4,3
6896.662847,7.7e-05,0.0001214,4.45586126030429e-30,1360.235002,63,57,10,9, B2,1,2,0,3,8, B1,0,0,0,4,5
6896.771181,0.000112,0.00022211,9.492056897111983e-29,1114.549359,63,63,10,10, B1,0,4,0,4,7, B2,0,0,0,1,10
6896.834573,5.5e-05,1.976,5.418034032089746e-29,1922.829,13,11,6,5, A1,0,3,1,1,6, A2,0,1,0,1,5
6897.157974,5.6e-05,0.097616,5.310013906374798e-30,1817.451157,9,9,4,4, A2,0,3,1,2,3, A1,0,1,0,0,4
6897.312,3.2e-05,0.44735,1.8545958574093055e-22,206.30143,7,7,3,3, A2,0,2,1,2,1, A1,0,0,0,2,2
6897.541247,4.9e-05,8.9962,1.7373056138978702e-28,2124.949921,69,75,11,12, B2,1,0,1,4,8, B1,0,0,0,4,9
6897.570805,8.2e-05,0.028268,1.4388142610380874e-28,1437.96769,19,21,9,10, A2,0,0,2,1,9, A1,0,0,0,2,8
6897.833211,5.4e-05,0.0022961,1.2104296566480305e-27,1059.835298,45,45,7,7, B1,2,0,0,2,5, B2,0,0,0,5,2
6898.176818,0.000154,0.23234,4.0058970555940884e-30,2042.372622,27,27,13,13, A2,2,0,0,1,13, A1,0,0,0,2,12
6898.240363,0.000154,0.23251,1.2033810742661198e-29,2042.309826,81,81,13,13, B1,2,0,0,0,13, B2,0,0,0,1,12
6898.515752,7.2e-05,0.085566,6.2493707910268795e-25,782.409821,39,45,6,7, B2,1,0,1,0,6, B1,0,0,0,2,5
6898.5879,2.4e-05,0.00052093,3.1116501449542667e-28,1059.835298,51,45,8,7, B1,0,2,1,3,5, B2,0,0,0,5,2
6898.939185,7e-05,0.02539,4.073604442864242e-23,37.137121,5,3,2,1, A1,1,2,0,2,0, A2,0,0,0,1,1
6899.257707,6.2e-05,7.5045e-06,7.292260287946755e-30,888.632617,15,13,7,6, A1,1,2,0,4,4, A2,0,0,0,5,1
6900.003825,2.9e-05,0.0089867,2.0843718688961487e-24,399.457514,27,33,4,5, B1,0,2,1,3,1, B2,0,0,0,1,4
6900.588753,3e-05,0.0088103,1.8306227524381846e-24,447.252347,39,39,6,6, B1,1,2,0,2,5, B2,0,0,0,1,6
6900.740174,5e-05,1.3681,2.906311358588234e-30,2251.862176,27,33,4,5, B2,2,1,0,3,2, B1,0,1,0,4,1
6900.82153,5.6e-05,1.487,8.381494832022172e-29,1813.787601,9,7,4,3, A2,0,3,1,2,3, A1,0,1,0,2,2
6900.944912,6.4e-05,1.0451e-06,3.0461753095374867e-30,888.598561,45,39,7,6, B1,1,2,0,4,3, B2,0,0,0,5,2
6901.662397,3.1e-05,0.29763,2.4218149035101965e-24,661.548885,13,13,6,6, A1,0,2,1,3,4, A2,0,0,0,3,3
6901.775964,4.2e-05,0.01871,9.212540681852603e-27,1079.079254,51,57,8,9, B1,1,2,0,4,5, B2,0,0,0,1,8
